,,,upshift,upshift,upshift,upshift,upshift,upshift,upshift,upshift
gene,protein class,mergeSector,-0.25,0,0.25,0.5,1,1.5,2,2.333
pgl,,C up,0.01584064,0.015479885,0.02347317,0.011724992,0.020360881,0.016325825,0.012242899,0.01979806
aspC,amino acid synthesis,C up,0.481739195,0.469393268,0.492611543,0.50930738,0.416116246,0.438846078,0.367430493,0.370783377
prr,,C up,0,0.009623713,0,0,0,0,0,0
aceA,TCA,C up,0.06316385,0.062963857,0.064632472,0.059111471,0.061082642,0.050508793,0.043200431,0.04194941
acnA,TCA,C up,0.120583831,0.090156087,0.105791775,0.105038416,0.081123071,0.073552658,0.077620662,0.078949304
acnB,TCA,C up,1.631548496,1.562568933,1.649396451,1.535706323,1.292275023,1.166716064,1.116842843,1.082410105
acrA,,C up,0.110089641,0.136595743,0.135051981,0.11773643,0.10705485,0.11734341,0.109732426,0.123252004
acs,,C up,0.399176643,0.359989755,0.351772525,0.334405525,0.285372783,0.245825924,0.220619085,0.194655568
actP,,C up,0,0,0,0,0,0,0,0
aer,motility,C up,0.05266966,0.050207196,0.046946339,0.040307705,0.035471315,0.028230587,0.021023099,0.025532005
melA,Catabolic,C up,0.393830193,0.378192865,0.305151207,0.340511276,0.295553223,0.201269512,0.177418655,0.143050064
agp,,C up,0.0106929,0.015479885,0.011899096,0.012211503,0.01018044,0.011904762,0,0
ahpC,,C up,0.528466276,0.493042827,0.480874958,0.515899643,0.461127098,0.478215768,0.409126406,0.436452996
aldA,,C up,1.235929914,1.100710746,0.97332399,1.021533829,0.818403867,0.668173286,0.521517582,0.461985001
aldB,,C up,0.01564193,0.009623713,0,0,0,0,0,0
amn,,C up,0.01049419,0,0,0.024423006,0.015110434,0.011904762,0.019868865,0.00989903
pepN,,C up,0.157611561,0.150396719,0.170099225,0.140213391,0.142526165,0.101017585,0.103610977,0.126632659
pepP,,C up,0.041579341,0.057742277,0.046296296,0.034201953,0.045010851,0.041493776,0.037078981,0.01068346
aphA,,C up,0.0213858,0,0.011899096,0,0,0,0,0
argT,Catabolic,C up,0.236218632,0.215039485,0.20530898,0.193219111,0.156995695,0.161134163,0.139185441,0.153733524
kdpB,,C up,0.04217547,0.041627799,0.047271361,0.046413456,0.066333089,0.067600277,0.076466428,0.079733734
atpA,,C up,0.730041696,0.501322398,0.721231182,0.751372504,0.677159511,0.715199565,0.622119525,0.649094829
atpD,,C up,0.838740369,0.782123921,0.756603447,0.754072676,0.773072564,0.63339755,0.640834158,0.572984685
atpC,,C up,0.05266966,0.037860259,0.041321813,0.047386479,0.03611222,0.028230587,0.025990315,0.04273384
atpF,,C up,0.214832832,0.219851341,0.228619639,0.243305762,0.162246142,0.225671804,0.186198854,0.142265634
atpG,,C up,0.167310912,0.171323054,0.187622847,0.156584601,0.141885261,0.126185536,0.125788308,0.116733629
bamA,,C up,0.173452201,0.180312174,0.169936714,0.175388367,0.173387939,0.173804584,0.176264422,0.175884873
bamC,,C up,0.110487061,0.110447829,0.11752836,0.11211719,0.111664392,0.11734341,0.088709327,0.123252004
bfr,,C up,0.0106929,0.009623713,0,0,0,0,0,0
lacZ,Catabolic,C up,2.164566383,2.025696305,1.964171603,2.046740853,1.775365262,1.450207469,1.333648945,1.219726224
bglA,,C up,0.02613612,0.021336058,0.017523622,0.011724992,0.025611327,0.021512547,0.038233214,0.03205038
bglX,,C up,0.02613612,0.020291742,0.034722222,0.022963472,0.01018044,0.031120332,0.021023099,0.01068346
btuE,,C up,0.0106929,0.011712345,0.011899096,0,0,0.023809524,0,0
btuR,,C up,0.01049419,0.010668029,0.011736585,0.017344232,0.015110434,0.016325825,0.012242899,0.00989903
katE,,C up,0.02613612,0.03095977,0.029260207,0.028582713,0.025290875,0.027464928,0.017210115,0.01068346
groS,,C up,0.183548972,0.21231626,0.18183581,0.192732599,0.183247927,0.172273266,0.175110189,0.170935358
groL,,C up,0.864677779,0.962026371,0.791163159,0.790707186,0.671909065,0.734242245,0.830392329,0.842667407
cheA,motility,C up,0.445307595,0.386362538,0.409967917,0.39157095,0.371425847,0.386805967,0.314645913,0.281935042
cheB,motility,C up,0.03168128,0.048528288,0.041159302,0.035174976,0.035471315,0.037838372,0.027144548,0.03283481
cheR,motility,C up,0.01584064,0.015479885,0.017686133,0.017344232,0.020360881,0.010373444,0.009934433,0.016417405
cheW,motility,C up,0.083953521,0.093923627,0.081831073,0.052519208,0.081443523,0.043790753,0.059256313,0.027100865
cheY,motility,C up,0.184343811,0.171732777,0.170586758,0.171228661,0.132986629,0.145573997,0.131909758,0.139669409
cheZ,motility,C up,0.146918661,0.15416426,0.140676508,0.134594151,0.137275719,0.155181782,0.133063991,0.117518059
gltA,TCA,C up,1.226826693,1.135438057,1.085065313,1.21475294,1.013114043,0.800484094,0.689001805,0.683199939
clpA,,C up,0.03148257,0.03095977,0.011574074,0.029555735,0.015110434,0.022278206,0.009934433,0.03126595
clpB,,C up,0.125930281,0.15416426,0.152900625,0.141186414,0.122485737,0.106969966,0.133063991,0.116733629
cpxR,,C up,0.03148257,0.021336058,0.02347317,0.023449984,0.041362666,0.028230587,0.022177332,0.016417405
crp,,C up,0.104345772,0.111492145,0.111578812,0.111144167,0.101483952,0.109859712,0.082587878,0.090417194
cspD,,C up,0.02613612,0.026147914,0.017523622,0.017830744,0.01018044,0.016325825,0.011088666,0.01068346
cspE,,C up,0.182754133,0.214629761,0.146138523,0.185167314,0.202006546,0.157305868,0.129601292,0.145646289
cstA,,C up,0.03148257,0.021336058,0.035209755,0.029069224,0.01018044,0.016325825,0.011088666,0.01068346
cycA,Catabolic,C up,0,0,0,0,0,0,0,0
cydA,,C up,0.020590961,0.011712345,0,0.012211503,0.01018044,0.010373444,0,0
cysB,,C up,0.02098838,0,0.029260207,0.011724992,0.024970423,0.03265165,0.021023099,0.025532005
dapA,amino acid synthesis,C up,0.0213858,0.021336058,0.011574074,0,0.021001785,0.016325825,0.023331565,0.02058249
hupA,,C up,0.330070214,0.369838337,0.340523472,0.332459479,0.31098411,0.344546532,0.328043045,0.350200887
hupB,,C up,0.536395954,0.626095898,0.527983808,0.479751645,0.416116246,0.52855167,0.366276259,0.454140701
dcp,,C up,0.04752192,0.036815943,0.029422718,0.047386479,0.045651756,0.028230587,0.032111765,0.02215135
dcrB,,C up,0.052272241,0.047483972,0.058520414,0.034201953,0.050902202,0.044556412,0.048167647,0.036999895
hemE,,C up,0,0,0,0,0,0,0,0.00989903
degP,,C up,0.120583831,0.101868432,0.099842227,0.123842182,0.117555743,0.083926102,0.082587878,0.080518164
degQ,,C up,0.03168128,0.042672115,0.046946339,0.035661487,0.035471315,0.03936969,0.027144548,0.036999895
deoB,nucleotide synthesis,C up,0.02098838,0.032004086,0.041321813,0.023449984,0.030220869,0.028230587,0.022177332,0.016417405
deoC,,C up,0.02098838,0.021336058,0.02347317,0.023449984,0.015110434,0.017091484,0.022177332,0.02136692
deoD,,C up,0.083754811,0.066731397,0.081831073,0.104065393,0.086693969,0.098720609,0.059256313,0.04273384
mglB,Catabolic,C up,0.346705693,0.351000635,0.317212813,0.278213122,0.224610593,0.178225647,0.120821092,0.133935464
gdhA,amino acid synthesis,C up,0.430659214,0.404750503,0.441503274,0.499528434,0.468941162,0.491651847,0.55824628,0.544856455
sdhA,TCA,C up,0.759537168,0.708082311,0.703220028,0.759205405,0.60032553,0.589433906,0.517704599,0.531035275
sdhB,TCA,C up,0.618362377,0.600357707,0.644862125,0.652707456,0.592511466,0.538159455,0.488251585,0.407783271
lpdA,,C up,0.81081586,0.901376015,0.867369705,0.852518829,0.867703808,0.82760324,0.742136668,0.660021224
ysgA,,C up,0.04732321,0.060240632,0.035372265,0.023449984,0.040721761,0.038604031,0.039387447,0.026316435
dppC,Catabolic,C up,0.01029548,0.015479885,0.011574074,0,0.009859988,0.010373444,0,0.00989903
dppF,Catabolic,C up,0.05801611,0.052295828,0.041159302,0.040794216,0.045651756,0.021512547,0.037078981,0.04273384
ecnB,,C up,0.01029548,0.011712345,0,0.011238481,0,0,0,0
elaB,,C up,0.01049419,0.019247426,0.011574074,0.011724992,0.01018044,0.011904762,0.011088666,0.00989903
emrA,,C up,0,0,0,0.011238481,0,0.010373444,0.009934433,0
fadA,,C up,0.083953521,0.078443742,0.064469961,0.087694184,0.040721761,0.038604031,0.028298781,0.027100865
fadB,,C up,0.183747682,0.138684375,0.13472696,0.141672925,0.097194862,0.061647896,0.05544333,0.04273384
fadE,,C up,0.03148257,0.015479885,0.023798191,0.011724992,0.015430887,0,0,0.00989903
