condition,rna_p_ratio,growth_rate_hr,mass_fraction,elongation_rate_aa_s,active_fraction,
RDM + 0.2% glucose+10 mM NH4Cl,0.476,1.8,0.217,16.7,0.958,
0. 2 % glucose+cAA+10 mM NH4Cl,0.364,1.28,0.166,16.3,0.9,
10 mM glucose-6-phosphate+10 mM gluconate +10 mM NH4Cl,0.306,1.12,0.139,16.1,0.927,
0.2% glucose+10 mM NH4Cl,0.294,0.98,0.134,15.9,0.865,
0.2% xylose+10 mM NH4Cl,0.233,0.75,0.106,14.9,0.902,
0.2 % glycerol+10 mM NH4Cl,0.227,0.69,0.103,15.0,0.849,
0.2% fructose+10 mM NH4Cl,0.217,0.69,0.099,14.7,0.888,
0.2% sorbitol+10 mM NH4Cl,0.193,0.55,0.088,13.7,0.879,
0.2% galactose+10 mM NH4Cl,0.184,0.5,0.084,13.1,0.86,
60 mM acetate+10 mM NH4Cl,0.172,0.46,0.078,12.6,0.879,
0.2% mannose+10 mM NH4Cl,0.172,0.41,0.078,13.0,0.756,
0.1% mannose+10 mM NH4Cl,0.152,0.34,0.069,12.4,0.751,
20 mM potassium aspartate,0.152,0.33,0.069,12.0,0.756,
0.075% mannose+10 mM NH4Cl,0.147,0.29,0.067,12.1,0.683,
20 mM aspartate+10 mM NH4Cl,0.137,0.23,0.062,12.3,0.59,
0.2% glycerol +10 mM Arginine,0.13,0.201,0.06,11.6,0.554,
20 mM glutamate+10 mM NH4Cl,0.118,0.13,0.054,10.7,0.441,
0.2% glycerol+20 mM Threonine,0.097,0.035,0.044,9.4,0.168,
