lam_preshift,lam_dagger,lam_postshift,total_shift_magnitude,initial_shift_magnitude,source,notes
0.277,0.456,0.687,0.404,1.644,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.173,0.317,0.687,0.252,1.831,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.087,0.240,0.687,0.126,2.765,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.058,0.191,0.687,0.084,3.302,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.232,0.377,0.769,0.301,1.626,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.145,0.254,0.463,0.314,1.748,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.122,0.210,0.293,0.418,1.716,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.359,0.517,0.769,0.467,1.438,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.150,0.217,0.293,0.512,1.447,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.229,0.403,0.463,0.495,1.755,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.410,0.596,0.769,0.533,1.453,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.411,0.592,0.769,0.535,1.439,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.268,0.393,0.463,0.578,1.468,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.783,0.785,0.769,1.018,1.002,"Korem Kohanim et al., 2018",Taken from Table  S1. Includes chemostat and batch culture experiments across different temperatures. Intermediate growth rate calculated as average over first 20 - 60 min after shift.
0.45,0.422377622377622,0.55,0.82,0.938616938616938,"Erickson et al., 2017","Data digitized from Fig. S3. Intermediate growth rate taken from average of first 20 minutes after shift, to be consistent with Korem Kohanim et al. 2018."
0.45,0.525982773931312,0.73,0.62,1.16885060873625,"Erickson et al., 2017","Data digitized from Fig. S3. Intermediate growth rate taken from average of first 20 minutes after shift, to be consistent with Korem Kohanim et al. 2018."
